stock,,
Product Name,Product SKU,Barcode
Text | required,Text | required |unique in the file and in the system,Text
تانج ليمون علب كبير  2.5 كجم,7622300470227,7622300470227
نوتيلا بالبندق بولندي 600 جم,8000500179864,8000500179864
نوتيلا صغير 15 * 200 جم,8000500015476,8000500015476
زبدة نادك غير مملحة 100جم,6281057081004,6281057081004
زيت زيتون فرشلي عصرة اولي صغير 250 مل,6281063450054,6281063450054
زيت زيتون كوبوليفا 500 زجاج,8410522100355,8410522100355
زيتون كوبوليفا شرائح أخضر  935 جم,8410522000952,8410522000952
زيتون كوبوليفا شرائح أسود كبير,8410522000983,8410522000983
شبس البطل 130 غ,6281016900483,6281016900483
فش فاش الاحمر 12 جم,6281100970019,6281100970019
مخلل خيار دارنا صغير 370 جم,5281029120213,5281029120213
مكرونة نعمه رقم 14 --- 5 كيلو,6281101400263,6281101400263
جبن ابو ولد 24 حبة,3251350162000,3251350162000
جبن سائل بوك 500 جم,5760466738040,5760466738040
جبن كرافت 240 جم,7622210852427,7622210852427
جبن موزاريلا مبشور البقرات الثلاث 200 جم,5760466736688,5760466736688
جبن موزريلا ثلاث بقرات 1000 جم,6281048050552,6281048050552
جبن نادك كاسات 500 جم,6281057050031,6281057050031
حليب سائل بوني كامل الدسم زجاج كبير 340 جم,4003490052937,4003490052937
حليب سائل جلوريا 96 * 170 جم,6281100111382,6281100111382
حليب سائل وادي فاطمة 96 * 170 جم,6281100113065,6281100113065
حليب مجفف نيدو 400 جم,7616100018260,7616100018260
زبادي اكتيفيا,6281022118230,6281022118230
قشطة بوك بالفراولة 170 جم,5760466730488,5760466730488
فواكه مشكلة قودي 425 جم,6281014135016,6281014135016
معمول تمر ام صالح 1700 جم,6281105682368,6281105682368
اليوم دجاجة متبلة باربيكيو 800 جم,6281007042321,6281007042321
اليوم دجاجة متبلة بنكهة الكاري 800 جم,6281007041966,6281007041966
اليوم كبدة دجاج 400 جم,6281101341696,6281101341696
نقانق  دجاج  الوطنية 350 جم,6281062350157,6281062350157
نقانق الوطنية بارد 350 جم,6281062350133,6281062350133
نقانق امريكان قاردن 130 جم,717273503106,717273503106
نقانق امريكانا 3 * 400 جم,6281050117427,6281050117427
نقانق دجاج الوطنية 350 جم,6281062350126,6281062350126
نقانق دجاج دو 3 * 340 جم,3280316028531,3280316028531
نقانق دجاج رويل 10قتع,6281050612205,6281050612205
نقانق دو بالجبنة 400 غ,3280317770828,3280317770828
نقانق دو حراق 400 غ,3280316016361,3280316016361
نقانق دو دجاج 400 غ,3280313830823,3280313830823
مورتديلا دجاج بالزيتون 250 جم,6281062351604,6281062351604
مورتديلا دجاج فلفل اسود 250 جم,6281062358566,6281062358566
قلوب دجاج مبرد الوطنية 500 جم,6281062358146,6281062358146
قلوب دجاج مبرد اليوم  300 جم,6281007028554,6281007028554
قلوب دجاج مبرد انتاج 500 جم,6281102721794,6281102721794
قوانص دجاج اليوم 300 جم,6281007028561,6281007028561
قوانص دجاج انتاج 400 جم,6281102721787,6281102721787
ايسكريم كواليتي بالشكولاته,6281100770176,6281100770176
صدور دجاج برازيلي,792010020181494833,792010020181494833
جبن سائل المراعي كامل الدسم 500 جم,6281007042765,6281007042765
جبن شيدر المراعي كامل الدسم علب 56 جم,6281007168403,6281007168403
زبادي المراعي فيتال 160 جم,6281007089005,6281007089005
زبادي المراعي فيتال بالفراولة 120 جم,6281007023924,6281007023924
زبادي المراعي فيتال فراولة 140 جم,6281007032834,6281007032834
زبادي المراعي مانجو فيتال,6281007023931,6281007023931
ميرندا فيتامين سي 355 مل,12000002588,12000002588
ديو تفاح 330 مل,12000802607,12000802607
سفن علب 355 مل,12000002533,12000002533
سفن كويتي 150 مل,12000804083,12000804083
عصير الصافي فواكه مشكلة 180 مل,6281022159066,6281022159066
عصير داناو 5 فيتامينات 1 لتر,6281022101089,6281022101089
عصير داناو برتقال وموز وفراولة بالحليب 1 لتر,6281022101034,6281022101034
عصير مانجو قها 150 مل,6287014280046,6287014280046
قمر الدين السعيد 400 جم,6210061081137,6210061081137
بسكويت ديمة بالفراولة 110 جم,776992010142,776992010142
بسكويت كليجا مع الهيل 62 جم,7622210427472,7622210427472
جوسي لايف مانجو 300 مل,6281007047715,6281007047715
حلاوة ديمة مصاص مشكلة كيس 400 جم,776992211013,776992211013
حلاوة مارشملو أعواد  45 جم,6210149098804,6210149098804
حلاوة مارشملو أعواد  45 جم,6936168709827,6936168709827
شكولاته ريسس كبير 51 جم,34000440115,34000440115
شكولاته سويت بلس ريفو 150 جم,3800065718325,3800065718325
شكولاته كيت كات كبير 41.5 جم,6294003532987,6294003532987
شكولاته كيندر ماكسي 21 جم,40084077,40084077
كعك الحفلة سويتز 28 جم,6281123033203,6281123033203
كيك اليمامة فراولة 21 جم,6281004704031,6281004704031
كيك فريدو 10 قطع,8005380030038,8005380030038
شاي ليبتون 330 مل,6281006710016,6281006710016
اقلام نيمكس 1.0 مل,8907430001480,8907430001480
مناديل كلوب سانيتا,6281017212349,6281017212349
مناديل كلينكس بوكس 100 حبة,6281002400478,6281002400478
موبي شامبو ملابس 3 لتر,6281142005199,6281142005199
شوكة طعام بلاستيك 100 حبة,6287009010054,6287009010054
صابون تايد 3 كجم,5413149811300,5413149811300
صابون سائل ديتول منعش 250 مل,6295120024430,6295120024430
فرش أسنان تارا,6281101040223,6281101040223
فرشة اسنان اورال بي,3014260275921,3014260275921
كمفرت ملابس ندي الربيع 3 لتر,6281006130104,6281006130104
مزيل عرق نيفيا بخاخ اسود  150 مل,4005808816026,4005808816026
مزيل عرق نيفيا للرجال 150 مل,4005808816002,4005808816002
مطهر داك صنوبر 3 لتر  + 1.5 لتر--- مجانا,6281031263884,6281031263884
باكنج بودر ريحان 100 جم,6281102100292,6281102100292
حب باجة ضيافة عائلي 160 جم,6281105790049,6281105790049
شوربة ماجي دجاج بالشعيرية 60 جم,8690632010182,8690632010182
صلصة الشواء حار مبهر فرشلي 510 جم,6281063881520,6281063881520
صلصة رانش فرشلي 237 مل,6281063881377,6281063881377
كاتشب رنا جالون 4.5 كجم,6281100034063,6281100034063
مايونيز قودي عادي,6281014111003,6281014111003
مايونيز هينز قولد 400 جم,6290090018700,6290090018700
معجون طماطم ليندو 830 جم,8680587010023,8680587010023
تونة تريفا كبير 170 جم,6281014300018,6281014300018
تونة سلاتونا ذرة 160 جم,8004030352513-1,8004030352513-1
تونة سلاتونا ذرة 2 * 160 جم,8004030352513,8004030352513
تونة سلاتونا ذره 36 * 160 جم,8004030352520,8004030352520
السواني لاند لانشون دجاج 340 جم,5283000516053,5283000516053
السواني لاند لانشون دجاج 24 * 340 جم,0155283000516058,0155283000516058
الوطنية دجاجة كاملة بنكهة المندي حار 700 جم,6281062350447,6281062350447
الوطنية دجاجة متبلة بارد 800 جم,6281062350164,6281062350164
الوطنية دجاجة متبلة حار 800 جم,6281062350171,6281062350171
الوطنية فاهيتا 500 جم,6281062370049,6281062370049
الوطنية نقانق دجاج حار 350 جم,6281062350140,6281062350140
حفائظ بامبي رقم 5,6281017352816,6281017352816
فول حدائق كالفورنيا بالخلطة السعودية  12 * 450 جم,882149040648,882149040648
فول حدائق كالفورنيا بالخلطة السعودية 450 جم,32894010940,32894010940
ارز ابو بنت 1 كجم,71771554238,71771554238
ارز ابو بنت 10 كجم,71771554283,71771554283
ارز ابو بنت 2 كجم,71771554252,71771554252
ارز ابو بنت 5 كجم,71771554269,71771554269
ارز ابو بنت كالروز 5 كجم,71771555471,71771555471
ارز ابو دله بالبيد 10 كجم,8906030984117,8906030984117
ارز ابو دله بالبيد 5 كجم,8264081925353,8264081925353
ارز ابو دله بالبيد 5 كجم,8906030984094,8906030984094
ارز ابو زهور 5 كجم,6287004750405,6287004750405
ارز ابو زهور شد 8,6287004750399,6287004750399
ارز ابو سيارة 2 * 20 كجم,6287012770808,6287012770808
ارز ابو سيارة 20 كجم,6287012770747,6287012770747
ارز ابو سيارة فطرة  3 كجم,6287012771041,6287012771041
ارز ابو سيارة فطرة 10 * 3 كجم,6287012771034,6287012771034
ارز ابو سياره 10 كجم,5723364130353,5723364130353
ارز ابو سيوف 1 كجم,4011100984080,4011100984080
ارز ابو سيوف 10 كجم,4011100984110,4011100984110
ارز ابو سيوف 2 كجم,4011100984097,4011100984097
ارز ابو سيوف 5 كجم,4011100984103,4011100984103
ارز ابو شجرة 10 كجم,8906033232956,8906033232956
ارز ابو شجرة 5 كيلو,6287012770174,6287012770174
ارز ابوسيارة 10 كجم,6287012770792,6287012770792
ارز ابوسيارة 5 كجم,6287012770778,6287012770778
ارز ابوسيارة فله 40 كجم,6287012770754,6287012770754
ارز ابوكاس 10 كجم,6281100410058,6281100410058
ارز ابوكاس 2 * 20 كجم,6281100410041,6281100410041
ارز ابوكاس 20 كجم,6281100410034,6281100410034
ارز ابوكاس 4 * 10 كجم,6281100410065,6281100410065
ارز ابوكاس 40 كجم,6281100410010,6281100410010
ارز ابوكاس 5 كجم,6281100410072,6281100410072
ارز ابوكاس 8 * 5 كجم,6281100410089,6281100410089
ارز ابوكاس عنبر بلاستيك 5 كجم,6281100411239,6281100411239
ارز ابوكاس فطرة 10 * 3 كجم,6281100410102,6281100410102
ارز ابوكاس فطرة 3 كجم,6281100410096,6281100410096
ارز ابومنارة 10 كجم,6281100410232,6281100410232
ارز ابومنارة فطرة 10 * 3 كجم,6281100410263,6281100410263
ارز ابومنارة فطرة 3 كجم,6281100410256,6281100410256
ارز ابيض معطر 10 كجم,6287004751280,6287004751280
ارز الخبيب  5 كجم,115020002900,115020002900
ارز الخبيب 10 كجم,115020002894,115020002894
ارز الشعلان 10 كجم,6281105120822,6281105120822
ارز الشعلان 10 كجم,8906001090045,8906001090045
ارز الشعلان 10 كجم,890600109005,890600109005
ارز الشعلان 4 * 10 كجم,6281105120839,6281105120839
ارز الشعلان 5 كجم,6281105120808,6281105120808
ارز الشعلان 5 كجم,8906001090021,8906001090021
ارز الشعلان 8 * 5 كجم,6281105120815,6281105120815
ارز الشعلان فطرة 10 * 3 كجم,8906001090090,8906001090090
ارز الشعلان فطرة 3 كجم,8906001090083,8906001090083
ارز الشعلان فله 40 كجم,6281105120860,6281105120860
